,taxid,phylum
1,562,Pseudomonadati
2,562,Pseudomonadati
3,562,Pseudomonadati
5,562,Pseudomonadati
6,562,Pseudomonadati
7,562,Pseudomonadati
8,562,Pseudomonadati
9,562,Pseudomonadati
10,562,Pseudomonadati
13,83333,Pseudomonadati
14,562,Pseudomonadati
15,562,Pseudomonadati
16,562,Pseudomonadati
17,2336,Thermotogati
19,562,Pseudomonadati
21,1773,Bacillati
22,562,Pseudomonadati
23,562,Pseudomonadati
24,562,Pseudomonadati
32,83333,Pseudomonadati
33,562,Pseudomonadati
53,83333,Pseudomonadati
55,1773,Bacillati
61,782,Pseudomonadati
62,782,Pseudomonadati
65,562,Pseudomonadati
71,562,Pseudomonadati
72,83333,Pseudomonadati
73,83333,Pseudomonadati
79,83333,Pseudomonadati
80,1773,Bacillati
81,83333,Pseudomonadati
82,83333,Pseudomonadati
83,83333,Pseudomonadati
84,83333,Pseudomonadati
85,565646,Bacillati
96,562,Pseudomonadati
102,208964,Pseudomonadati
106,1773,Bacillati
107,1773,Bacillati
112,83333,Pseudomonadati
113,208964,Pseudomonadati
114,562,Pseudomonadati
124,536056,Pseudomonadati
126,1773,Bacillati
140,83333,Pseudomonadati
150,562,Pseudomonadati
162,83333,Pseudomonadati
167,83334,Pseudomonadati
173,83333,Pseudomonadati
174,83333,Pseudomonadati
178,487,Pseudomonadati
189,562,Pseudomonadati
191,83334,Pseudomonadati
193,83333,Pseudomonadati
213,419947,Bacillati
214,419947,Bacillati
215,419947,Bacillati
219,419947,Bacillati
229,83333,Pseudomonadati
231,83333,Pseudomonadati
233,83334,Pseudomonadati
246,28901,Pseudomonadati
252,562,Pseudomonadati
254,562,Pseudomonadati
255,562,Pseudomonadati
256,562,Pseudomonadati
264,83333,Pseudomonadati
265,562,Pseudomonadati
268,562,Pseudomonadati
291,562,Pseudomonadati
292,562,Pseudomonadati
300,562,Pseudomonadati
307,562,Pseudomonadati
310,645463,Bacillati
311,562,Pseudomonadati
320,562,Pseudomonadati
323,29488,Pseudomonadati
328,287,Pseudomonadati
334,562,Pseudomonadati
350,562,Pseudomonadati
356,1045010,Pseudomonadati
357,562,Pseudomonadati
358,562,Pseudomonadati
368,562,Pseudomonadati
382,474186,Bacillati
389,1299,Thermotogati
391,160492,Pseudomonadati
392,666,Pseudomonadati
411,82789,Pseudomonadati
412,224914,Pseudomonadati
413,29459,Pseudomonadati
416,176280,Bacillati
419,818,Pseudomonadati
420,1313,Bacillati
423,562,Pseudomonadati
425,248049,Pseudomonadati
429,1392,Bacillati
430,86667,Bacillati
432,446,Pseudomonadati
435,1422,Bacillati
438,321314,Pseudomonadati
441,429581,uncultured bacterium pMCBF6
442,1063,Pseudomonadati
443,246194,Bacillati
444,316279,Bacillati
447,347834,Pseudomonadati
449,316058,Pseudomonadati
450,279238,Pseudomonadati
451,203122,Pseudomonadati
452,935293,Pseudomonadati
455,246197,Pseudomonadati
456,101510,Bacillati
457,60480,Pseudomonadati
458,64471,Bacillati
459,335541,Bacillati
460,228405,Pseudomonadati
461,290399,Bacillati
464,94122,Pseudomonadati
467,1781,Bacillati
468,266,Pseudomonadati
469,415444,uncultured marine bacterium HF10_12C08
470,290340,Bacillati
471,232721,Pseudomonadati
472,59922,Bacillati
474,325240,Pseudomonadati
